AFFYMETRIX_3PRIME_IVT_ID	Name	Species
202970_at	dual specificity tyrosine phosphorylation regulated kinase 2(DYRK2)	Homo sapiens
202083_s_at	SEC14 like lipid binding 1(SEC14L1)	Homo sapiens
202084_s_at	SEC14 like lipid binding 1(SEC14L1)	Homo sapiens
239058_at	forkhead box C2(FOXC2)	Homo sapiens
225924_at	folliculin interacting protein 2(FNIP2)	Homo sapiens
226460_at	folliculin interacting protein 2(FNIP2)	Homo sapiens
204563_at	selectin L(SELL)	Homo sapiens
204131_s_at	forkhead box O3(FOXO3)	Homo sapiens
212517_at	attractin(ATRN)	Homo sapiens
1553271_at	disco interacting protein 2 homolog B(DIP2B)	Homo sapiens
232329_at	RAN binding protein 10(RANBP10)	Homo sapiens
238139_at	uncharacterized LOC101928728(LOC101928728)	Homo sapiens
226408_at	TEA domain transcription factor 2(TEAD2)	Homo sapiens
212256_at	polypeptide N-acetylgalactosaminyltransferase 10(GALNT10)	Homo sapiens
207992_s_at	adenosine monophosphate deaminase 3(AMPD3)	Homo sapiens
226498_at	fms related tyrosine kinase 1(FLT1)	Homo sapiens
232809_s_at	fms related tyrosine kinase 1(FLT1)	Homo sapiens
232695_at	kinesin family member 6(KIF6)	Homo sapiens
1563680_at	uncharacterized LOC284950(LOC284950)	Homo sapiens
212010_s_at	CDV3 homolog(CDV3)	Homo sapiens
241394_at	uncharacterized LOC101928710(LOC101928710)	Homo sapiens
202478_at	tribbles pseudokinase 2(TRIB2)	Homo sapiens
226042_at	enhancer of mRNA decapping 3(EDC3)	Homo sapiens
220594_at	O-linked N-acetylglucosamine (GlcNAc) transferase(OGT)	Homo sapiens
201742_x_at	serine and arginine rich splicing factor 1(SRSF1)	Homo sapiens
237016_at	transmembrane protein 217(TMEM217)	Homo sapiens
211318_s_at	ribonucleic acid export 1(RAE1)	Homo sapiens
240078_at	splicing factor SWAP homolog(SFSWAP)	Homo sapiens
239779_at	protein-glucosylgalactosylhydroxylysine glucosidase(PGGHG)	Homo sapiens
232336_at	zinc finger SWIM-type containing 5(ZSWIM5)	Homo sapiens
228288_at	RPA interacting protein(RPAIN)	Homo sapiens
231835_at	family with sequence similarity 213 member B(FAM213B)	Homo sapiens
223296_at	solute carrier family 25 member 33(SLC25A33)	Homo sapiens
225262_at	FOS like 2, AP-1 transcription factor subunit(FOSL2)	Homo sapiens
202975_s_at	Rho related BTB domain containing 3(RHOBTB3)	Homo sapiens
201929_s_at	plakophilin 4(PKP4)	Homo sapiens
201340_s_at	ectodermal-neural cortex 1(ENC1)	Homo sapiens
201341_at	ectodermal-neural cortex 1(ENC1)	Homo sapiens
1555708_a_at	orofacial cleft 1 candidate 1(OFCC1)	Homo sapiens
230546_at	vasohibin 1(VASH1)	Homo sapiens
1556423_at	vasohibin 1(VASH1)	Homo sapiens
203940_s_at	vasohibin 1(VASH1)	Homo sapiens
1554053_at	serine palmitoyltransferase long chain base subunit 1(SPTLC1)	Homo sapiens
207262_at	apolipoprotein F(APOF)	Homo sapiens
214956_at	AP2 associated kinase 1(AAK1)	Homo sapiens
206334_at	lipase F, gastric type(LIPF)	Homo sapiens
224231_at	uncharacterized LOC28994(PRO0471)	Homo sapiens
222545_s_at	transmembrane protein 254(TMEM254)	Homo sapiens
213763_at	homeodomain interacting protein kinase 2(HIPK2)	Homo sapiens
233975_at	prion protein (testis specific)(PRNT)	Homo sapiens
244248_at	tetratricopeptide repeat domain 27(TTC27)	Homo sapiens
211767_at	GINS complex subunit 4(GINS4)	Homo sapiens
231956_at	ring finger protein 213(RNF213)	Homo sapiens
230499_at	baculoviral IAP repeat containing 3(BIRC3)	Homo sapiens
225858_s_at	X-linked inhibitor of apoptosis(XIAP)	Homo sapiens
242157_at	chromodomain helicase DNA binding protein 9(CHD9)	Homo sapiens
1554623_x_at	diacylglycerol kinase epsilon(DGKE)	Homo sapiens
218420_s_at	proline and serine rich 1(PROSER1)	Homo sapiens
201998_at	ST6 beta-galactoside alpha-2,6-sialyltransferase 1(ST6GAL1)	Homo sapiens
214971_s_at	ST6 beta-galactoside alpha-2,6-sialyltransferase 1(ST6GAL1)	Homo sapiens
221904_at	family with sequence similarity 131 member A(FAM131A)	Homo sapiens
237794_at	ankyrin repeat domain 30B pseudogene(LOC100132004)	Homo sapiens
220918_at	RUNX1 intronic transcript 1(RUNX1-IT1)	Homo sapiens
226580_at	breast cancer metastasis-suppressor 1-like(BRMS1L)	Homo sapiens
222820_at	trinucleotide repeat containing 6C(TNRC6C)	Homo sapiens
242314_at	trinucleotide repeat containing 6C(TNRC6C)	Homo sapiens
203381_s_at	apolipoprotein E(APOE)	Homo sapiens
215280_s_at	PTPRF interacting protein alpha 3(PPFIA3)	Homo sapiens
205216_s_at	apolipoprotein H(APOH)	Homo sapiens
1553706_at	HtrA serine peptidase 4(HTRA4)	Homo sapiens
204270_at	SKI proto-oncogene(SKI)	Homo sapiens
215889_at	SKI like proto-oncogene(SKIL)	Homo sapiens
225227_at	SKI like proto-oncogene(SKIL)	Homo sapiens
206675_s_at	SKI like proto-oncogene(SKIL)	Homo sapiens
1554869_at	WD repeat domain 37(WDR37)	Homo sapiens
210865_at	Fas ligand(FASLG)	Homo sapiens
228828_at	TSPOAP1 antisense RNA 1(TSPOAP1-AS1)	Homo sapiens
212871_at	mitogen-activated protein kinase-activated protein kinase 5(MAPKAPK5)	Homo sapiens
235659_at	transmembrane protein 127(TMEM127)	Homo sapiens
241384_x_at	glycerol kinase 5 (putative)(GK5)	Homo sapiens
1555626_a_at	signaling lymphocytic activation molecule family member 1(SLAMF1)	Homo sapiens
226081_at	leucine zipper and CTNNBIP1 domain containing(LZIC)	Homo sapiens
201170_s_at	basic helix-loop-helix family member e40(BHLHE40)	Homo sapiens
238413_at	RRN3 homolog, RNA polymerase I transcription factor pseudogene 3(RRN3P3)	Homo sapiens
210440_s_at	cell division cycle 14A(CDC14A)	Homo sapiens
205288_at	cell division cycle 14A(CDC14A)	Homo sapiens
210441_at	cell division cycle 14A(CDC14A)	Homo sapiens
212810_s_at	solute carrier family 1 member 4(SLC1A4)	Homo sapiens
244377_at	solute carrier family 1 member 4(SLC1A4)	Homo sapiens
201013_s_at	phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase(PAICS)	Homo sapiens
214664_at	phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase(PAICS)	Homo sapiens
203443_at	echinoderm microtubule associated protein like 3(EML3)	Homo sapiens
206616_s_at	ADAM metallopeptidase domain 22(ADAM22)	Homo sapiens
1563083_s_at	long intergenic non-protein coding RNA 486(LINC00486)	Homo sapiens
227210_at	Scm-like with four mbt domains 2(SFMBT2)	Homo sapiens
212975_at	DENN domain containing 3(DENND3)	Homo sapiens
205684_s_at	DENN domain containing 4C(DENND4C)	Homo sapiens
202815_s_at	hexamethylene bisacetamide inducible 1(HEXIM1)	Homo sapiens
218019_s_at	pyridoxal (pyridoxine, vitamin B6) kinase(PDXK)	Homo sapiens
1552875_a_at	CD200 receptor 1(CD200R1)	Homo sapiens
226013_at	trafficking kinesin protein 1(TRAK1)	Homo sapiens
202079_s_at	trafficking kinesin protein 1(TRAK1)	Homo sapiens
236108_at	ectopic P-granules autophagy protein 5 homolog(EPG5)	Homo sapiens
1553077_at	short chain dehydrogenase/reductase family 9C, member 7(SDR9C7)	Homo sapiens
232163_at	WD repeat domain 19(WDR19)	Homo sapiens
219957_at	RUN and FYVE domain containing 2(RUFY2)	Homo sapiens
205152_at	solute carrier family 6 member 1(SLC6A1)	Homo sapiens
234016_at	family with sequence similarity 95 member A(FAM95A)	Homo sapiens
1555978_s_at	myosin light chain 12A(MYL12A)	Homo sapiens
1555976_s_at	myosin light chain 12A(MYL12A)	Homo sapiens
201009_s_at	thioredoxin interacting protein(TXNIP)	Homo sapiens
201010_s_at	thioredoxin interacting protein(TXNIP)	Homo sapiens
201008_s_at	thioredoxin interacting protein(TXNIP)	Homo sapiens
211030_s_at	solute carrier family 6 member 6(SLC6A6)	Homo sapiens
200713_s_at	microtubule associated protein RP/EB family member 1(MAPRE1)	Homo sapiens
216539_at	ataxin 3 like(ATXN3L)	Homo sapiens
228730_s_at	secernin 2(SCRN2)	Homo sapiens
204280_at	regulator of G-protein signaling 14(RGS14)	Homo sapiens
204764_at	CHURC1-FNTB readthrough(CHURC1-FNTB)	Homo sapiens
1554728_at	solute carrier family 9 member A1(SLC9A1)	Homo sapiens
209824_s_at	aryl hydrocarbon receptor nuclear translocator like(ARNTL)	Homo sapiens
226982_at	elongation factor for RNA polymerase II 2(ELL2)	Homo sapiens
1556113_at	collagen alpha-1(II) chain-like(LOC101928841)	Homo sapiens
230123_at	NECAP endocytosis associated 2(NECAP2)	Homo sapiens
220731_s_at	NECAP endocytosis associated 2(NECAP2)	Homo sapiens
210715_s_at	serine peptidase inhibitor, Kunitz type 2(SPINT2)	Homo sapiens
218491_s_at	thymocyte nuclear protein 1(THYN1)	Homo sapiens
209402_s_at	solute carrier family 12 member 4(SLC12A4)	Homo sapiens
218145_at	tribbles pseudokinase 3(TRIB3)	Homo sapiens
240432_x_at	Kruppel like factor 7(KLF7)	Homo sapiens
1555420_a_at	Kruppel like factor 7(KLF7)	Homo sapiens
1563854_s_at	uncharacterized LOC283045(LOC283045)	Homo sapiens
202236_s_at	solute carrier family 16 member 1(SLC16A1)	Homo sapiens
222721_at	cornichon family AMPA receptor auxiliary protein 4(CNIH4)	Homo sapiens
225635_s_at	endogenous Bornavirus-like nucleoprotein 3, pseudogene(EBLN3P)	Homo sapiens
1556960_a_at	anomalous homeobox(ANHX)	Homo sapiens
204436_at	pleckstrin homology domain containing O2(PLEKHO2)	Homo sapiens
225043_at	solute carrier family 15 member 4(SLC15A4)	Homo sapiens
209985_s_at	achaete-scute family bHLH transcription factor 1(ASCL1)	Homo sapiens
225917_at	activating transcription factor 7 interacting protein(ATF7IP)	Homo sapiens
207728_at	activating transcription factor 7 interacting protein(ATF7IP)	Homo sapiens
231157_at	tubulin tyrosine ligase like 11(TTLL11)	Homo sapiens
1553713_a_at	Ras homolog enriched in brain like 1(RHEBL1)	Homo sapiens
1570253_a_at	Ras homolog enriched in brain like 1(RHEBL1)	Homo sapiens
218520_at	TANK binding kinase 1(TBK1)	Homo sapiens
222870_s_at	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2(B3GNT2)	Homo sapiens
204101_at	myotubularin 1(MTM1)	Homo sapiens
218968_s_at	ZFP64 zinc finger protein(ZFP64)	Homo sapiens
205896_at	solute carrier family 22 member 4(SLC22A4)	Homo sapiens
228820_at	X-prolyl aminopeptidase 3(XPNPEP3)	Homo sapiens
217965_s_at	SAP30 binding protein(SAP30BP)	Homo sapiens
203015_s_at	SSX family member 2 interacting protein(SSX2IP)	Homo sapiens
229897_at	zinc finger protein 641(ZNF641)	Homo sapiens
210797_s_at	2'-5'-oligoadenylate synthetase like(OASL)	Homo sapiens
205660_at	2'-5'-oligoadenylate synthetase like(OASL)	Homo sapiens
219036_at	centrosomal protein 70(CEP70)	Homo sapiens
223484_at	chromosome 15 open reading frame 48(C15orf48)	Homo sapiens
235232_at	glucocorticoid modulatory element binding protein 1(GMEB1)	Homo sapiens
226117_at	TRAF interacting protein with forkhead associated domain(TIFA)	Homo sapiens
226969_at	5-methyltetrahydrofolate-homocysteine methyltransferase(MTR)	Homo sapiens
228856_at	zinc finger protein 747(ZNF747)	Homo sapiens
213720_s_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4(SMARCA4)	Homo sapiens
1552649_a_at	RAD51L3-RFFL readthrough(RAD51L3-RFFL)	Homo sapiens
235749_at	UDP-glucose glycoprotein glucosyltransferase 2(UGGT2)	Homo sapiens
240088_at	phosphodiesterase 5A(PDE5A)	Homo sapiens
213286_at	zinc finger RNA binding protein(ZFR)	Homo sapiens
231838_at	poly(A) binding protein cytoplasmic 1 like(PABPC1L)	Homo sapiens
232552_at	dishevelled associated activator of morphogenesis 1(DAAM1)	Homo sapiens
214865_at	DOT1 like histone lysine methyltransferase(DOT1L)	Homo sapiens
244488_at	LSM family member 14B(LSM14B)	Homo sapiens
221499_s_at	syntaxin 16(STX16)	Homo sapiens
221500_s_at	syntaxin 16(STX16)	Homo sapiens
221638_s_at	syntaxin 16(STX16)	Homo sapiens
208836_at	ATPase Na+/K+ transporting subunit beta 3(ATP1B3)	Homo sapiens
225050_at	zinc finger protein 512(ZNF512)	Homo sapiens
212572_at	serine/threonine kinase 38 like(STK38L)	Homo sapiens
222749_at	SUFU negative regulator of hedgehog signaling(SUFU)	Homo sapiens
201996_s_at	spen family transcriptional repressor(SPEN)	Homo sapiens
215092_s_at	nuclear factor of activated T-cells 5(NFAT5)	Homo sapiens
208003_s_at	nuclear factor of activated T-cells 5(NFAT5)	Homo sapiens
214891_at	F-box protein 21(FBXO21)	Homo sapiens
234524_at	PR/SET domain 15(PRDM15)	Homo sapiens
235050_at	solute carrier family 2 member 12(SLC2A12)	Homo sapiens
211902_x_at	YME1 like 1 ATPase(YME1L1)	Homo sapiens
215540_at	YME1 like 1 ATPase(YME1L1)	Homo sapiens
217063_x_at	YME1 like 1 ATPase(YME1L1)	Homo sapiens
1563725_at	zinc finger protein 583(ZNF583)	Homo sapiens
1552582_at	ATP binding cassette subfamily C member 13 (pseudogene)(ABCC13)	Homo sapiens
227410_at	family with sequence similarity 43 member A(FAM43A)	Homo sapiens
233162_at	uncharacterized LOC101926892(LOC101926892)	Homo sapiens
1557881_at	ZNF32 antisense RNA 3(ZNF32-AS3)	Homo sapiens
231840_x_at	LYR motif containing 7(LYRM7)	Homo sapiens
202431_s_at	v-myc avian myelocytomatosis viral oncogene homolog(MYC)	Homo sapiens
237894_at	chromosome 3 open reading frame 22(C3orf22)	Homo sapiens
226756_at	coiled-coil domain containing 71-like(CCDC71L)	Homo sapiens
212423_at	zinc finger CCHC-type containing 24(ZCCHC24)	Homo sapiens
1554634_at	PDS5 cohesin associated factor B(PDS5B)	Homo sapiens
207574_s_at	growth arrest and DNA damage inducible beta(GADD45B)	Homo sapiens
206525_at	gamma-aminobutyric acid type A receptor rho1 subunit(GABRR1)	Homo sapiens
209492_x_at	ATP synthase, H+ transporting, mitochondrial Fo complex subunit E(ATP5I)	Homo sapiens
214886_s_at	NEDD4 binding protein 2 like 1(N4BP2L1)	Homo sapiens
205641_s_at	TNFRSF1A associated via death domain(TRADD)	Homo sapiens
223054_at	DnaJ heat shock protein family (Hsp40) member B11(DNAJB11)	Homo sapiens
234720_s_at	transducer of ERBB2, 2(TOB2)	Homo sapiens
222448_s_at	cytidine/uridine monophosphate kinase 1(CMPK1)	Homo sapiens
210219_at	SP100 nuclear antigen(SP100)	Homo sapiens
210117_at	sperm associated antigen 1(SPAG1)	Homo sapiens
209340_at	UDP-N-acetylglucosamine pyrophosphorylase 1(UAP1)	Homo sapiens
1561094_a_at	solute carrier family 22 member 25(SLC22A25)	Homo sapiens
223209_s_at	selenoprotein S(SELENOS)	Homo sapiens
237314_at	enkurin, TRPC channel interacting protein(ENKUR)	Homo sapiens
217882_at	ER membrane protein complex subunit 3(EMC3)	Homo sapiens
215667_x_at	PMS1 homolog 2, mismatch repair system component pseudogene 9(PMS2P9)	Homo sapiens
231431_s_at	InaF motif containing 2(INAFM2)	Homo sapiens
221128_at	ADAM metallopeptidase domain 19(ADAM19)	Homo sapiens
209765_at	ADAM metallopeptidase domain 19(ADAM19)	Homo sapiens
237406_at	NIMA related kinase 6(NEK6)	Homo sapiens
226361_at	transmembrane protein 42(TMEM42)	Homo sapiens
208860_s_at	ATRX, chromatin remodeler(ATRX)	Homo sapiens
233935_at	tumor necrosis factor superfamily member 14(TNFSF14)	Homo sapiens
207907_at	tumor necrosis factor superfamily member 14(TNFSF14)	Homo sapiens
217417_at	myosin VA(MYO5A)	Homo sapiens
229723_at	T-cell activation RhoGTPase activating protein(TAGAP)	Homo sapiens
1552541_at	T-cell activation RhoGTPase activating protein(TAGAP)	Homo sapiens
242512_at	myosin IXA(MYO9A)	Homo sapiens
201593_s_at	zinc finger CCCH-type containing 15(ZC3H15)	Homo sapiens
1557507_at	TRIM52 antisense RNA 1 (head to head)(TRIM52-AS1)	Homo sapiens
233241_at	kizuna centrosomal protein(KIZ)	Homo sapiens
228290_at	kizuna centrosomal protein(KIZ)	Homo sapiens
226633_at	RAB8B, member RAS oncogene family(RAB8B)	Homo sapiens
218094_s_at	dysbindin domain containing 2(DBNDD2)	Homo sapiens
225878_at	kinesin family member 1B(KIF1B)	Homo sapiens
226968_at	kinesin family member 1B(KIF1B)	Homo sapiens
211139_s_at	NGFI-A binding protein 1(NAB1)	Homo sapiens
212803_at	NGFI-A binding protein 2(NAB2)	Homo sapiens
236969_at	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase(GART)	Homo sapiens
204457_s_at	growth arrest specific 1(GAS1)	Homo sapiens
204181_s_at	zinc finger and BTB domain containing 43(ZBTB43)	Homo sapiens
